event_id,transaction_hash,block_number,nft_address,token_id,from_address,to_address,transaction_value,timestamp,tsdate
aa2e726b-5cd9-4759-8e93-366f7e603035,0x7b459405ae0a5538f26be77fb42b67f363a8bea660e1f0ce2042cf8fc6da4fbf,13051262,0xd754937672300Ae6708a51229112dE4017810934,130,0xe1D29d0a39962a9a8d2A297ebe82e166F8b8EC18,0x924Ec2504CC71CdbD39011B417ac5a9D3d4dFF1b,2.275e+21,1629316960,2021-08-18
3e3d0e97-96cc-4320-a9df-f995a770f7b0,0x7b459405ae0a5538f26be77fb42b67f363a8bea660e1f0ce2042cf8fc6da4fbf,13051262,0xd754937672300Ae6708a51229112dE4017810934,138,0xe1D29d0a39962a9a8d2A297ebe82e166F8b8EC18,0x924Ec2504CC71CdbD39011B417ac5a9D3d4dFF1b,2.275e+21,1629316960,2021-08-18
9a2226cd-7efe-4d04-9463-343563d04476,0x7b459405ae0a5538f26be77fb42b67f363a8bea660e1f0ce2042cf8fc6da4fbf,13051262,0xd754937672300Ae6708a51229112dE4017810934,150,0xe1D29d0a39962a9a8d2A297ebe82e166F8b8EC18,0x924Ec2504CC71CdbD39011B417ac5a9D3d4dFF1b,2.275e+21,1629316960,2021-08-18
5b920d58-303c-4ae4-bff8-0620f7c84b2d,0x7b459405ae0a5538f26be77fb42b67f363a8bea660e1f0ce2042cf8fc6da4fbf,13051262,0xd754937672300Ae6708a51229112dE4017810934,171,0xe1D29d0a39962a9a8d2A297ebe82e166F8b8EC18,0x924Ec2504CC71CdbD39011B417ac5a9D3d4dFF1b,2.275e+21,1629316960,2021-08-18
ea606fa4-1507-4aa5-8433-2fa5d8f9e657,0x7b459405ae0a5538f26be77fb42b67f363a8bea660e1f0ce2042cf8fc6da4fbf,13051262,0xd754937672300Ae6708a51229112dE4017810934,219,0xe1D29d0a39962a9a8d2A297ebe82e166F8b8EC18,0x924Ec2504CC71CdbD39011B417ac5a9D3d4dFF1b,2.275e+21,1629316960,2021-08-18
668b93fe-f7c0-4ade-af5f-6067cf588d39,0x7b459405ae0a5538f26be77fb42b67f363a8bea660e1f0ce2042cf8fc6da4fbf,13051262,0xd754937672300Ae6708a51229112dE4017810934,6,0xe1D29d0a39962a9a8d2A297ebe82e166F8b8EC18,0x924Ec2504CC71CdbD39011B417ac5a9D3d4dFF1b,2.275e+21,1629316960,2021-08-18
c077f0ec-bb09-498b-b2c8-854daf155924,0x71301ecceb449b3d15f1aea9dbd5f64917a2c3874337e305e6e5cb692914b843,13107689,0xa7d8d9ef8D8Ce8992Df33D8b8CF4Aebabd5bD270,13000879,0xAfd37C11f9DFEe561db31D9bAb7cEc4812BBD241,0x75e1c2493136a2d62888615d53382AC3116861fE,1.8e+21,1630070963,2021-08-27
c9c541d6-425c-40c1-836b-fc3ff875aadc,0x9fe475c625553d191833271ea1b9c1533a3c1c31f5fa1cc2a812b0bb0cdf2022,12197784,0xfD1539Ee9ccAD1aB5D9b4877097CfD8221815b47,504,0x02A522D98EC2D2c3bBe91AcC29ee7fD32ab880ab,0x6eD31BC364df5169D4A2C0f9e7c87Ec824C7E641,1.00000099e+21,1617866527,2021-04-08
5d761891-843d-4e8a-a61c-33ff97557c66,0x41c71c8a1f73d31ed278c6cf9e84c24dc102ca777f33ad48886e753852a7aab6,13082858,0xa7d8d9ef8D8Ce8992Df33D8b8CF4Aebabd5bD270,78000313,0xfaF80bD38a6c39fc9f580C9BF89698639376906B,0xfD22004806A6846EA67ad883356be810F0428793,1.0e+21,1629739308,2021-08-23
b2dfe27e-f6f8-475b-897c-30ab1d027d01,0x99f1872f2a7bbd1e36910beed2d639378ebd3e747418c184b2159da7e25113e5,12796259,0x7Bd29408f11D2bFC23c34f18275bBf23bB716Bc7,17522,0x12e5E3E7A1389feD96e1BE50aEd32316C027B18B,0x005E9EeD36BfEA0D05c0e8f36f32d4f4E08EFacd,1.0e+21,1625875170,2021-07-09
